 CÓDIGO;DESCRIPCION;LATITUD;LONGITUD;DIRECCIÓN;C.P.;POBLACION;PROVINCIA;Fichas;Túneles lavado
05957;ABREVADERO;37,609711;-0,931837;CARRETERA N-332 - ESTACION FERROCARRIL, S/N;30399;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05957.pdf;
05959;ALUMBRES;37,609929;-0,914841;CALLE ESTACION FERROCARRIL, 33;30351;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05959.pdf;
05961;LA ESPERANZA;37,613793;-0,891342;CARRETERA ESPERANZA A PORTMAN, S/N;30369;Unión, La;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05961.pdf;
05963;LA UNION VIEJA;37,615486;-0,881663;CALLE CAMILO JOSE CELA, S/N;30360;Unión, La;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05963.pdf;
05965;LA UNION;37,615673;-0,875217;CALLE DE LA GABRIELA, 1;30360;Unión, La;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05965.pdf;
05967;SIERRA MINERA;37,61985;-0,864864;CARRETERA RM-F43 KM 1 - ESTACION FERROCARRIL, S/N;30360;Unión, La;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05967.pdf;
05969;LLANO DEL BEAL;37,626055;-0,83621;CALLE ZORRILLA, 4;30381;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05969.pdf;
05971;EL ESTRECHO;37,627603;-0,829591;CARRETERA RM-F43 - ESTACION FERROCARRIL, S/N;30381;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05971.pdf;
05973;LOS NIETOS-VIEJOS;37,646924;-0,791485;AVENIDA DEL PROGRESO, 64;30383;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05973.pdf;
05975;LOS NIETOS-PESCADERIA;37,649354;-0,787864;CALLE SANTA TERESA, S/N;30383;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05975.pdf;
05977;LOS NIETOS;37,651839;-0,796983;CALLE DATIL DE MAR, S/N;30383;Cartagena;Murcia;https://data.renfe.com/files/estaciones/FichaEstacion05977.pdf;
13206;AMETZOLA;43,254667;-2,943635;ETORBIDEA FERROCARRIL, S/N;48012;Bilbao;Bizkaia;https://data.renfe.com/files/estaciones/FichaEstacion13206.pdf;
14200;MATAPORQUERA;42,8728184;-4,1642245;CALLE CONSTITUCION, 17;39410;Valdeolea;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14200.pdf;
14223;SANTANDER;43,458572;-3,811063;PLAZA DE LAS ESTACIONES, S/N;39002;Santander;Cantabria;https://data.renfe.com/files/estaciones/FichaEstacion14223.pdf;
15205;ABLAÑA;43,267258;-5,805951;CALLE ESTACION FERROCARRIL, S/N;33650;Mieres;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15205.pdf;
15206;LA PEREDA-RIOSA;43,277052;-5,812251;CARRETERA N-630 - ESTACION FERROCARRIL, S/N;33682;Mieres;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15206.pdf;
15211;OVIEDO;43,366523;-5,855231;CALLE URIA, S/N - PLAZA DE LOS FERROVIARIOS, S/N;33012;Oviedo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15211.pdf;
15217;LA CORREDORIA;43,387845;-5,826901;CALLE DOCTOR INGENIERO FRANCISCO PINTADO, S/N;33011;Oviedo;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15217.pdf;
15400;VERIÑA;43,541561;-5,722783;CARRETERA AVILES, S/N;33213;Gijón;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion15400.pdf;
15410;GIJON-SANZ CRESPO;43,5377426;-5,6759041;CALLE SANZ CRESPO, S/N;33207;Gijón;Asturias;;
16403;AVILES;43,561305;-5,92845;AVENIDA DE LOS TELARES, S/N;33409;Avilés;Asturias;https://data.renfe.com/files/estaciones/FichaEstacion16403.pdf;
21010;FERROL;43,4880277;-8,2310665;AVENIDA DE COMPOSTELA, S/N;15407;Ferrol;Coruña, A;;
